SYMBOL,GAIN
FACT,1.069944285877687
PSB,0.9134722053107637
MPTODAY,0.8995750499418188
FOCE,0.7182144087284601
DRCSYSTEMS,0.6939851951104251
SECL,0.6625817964192817
MADHAVBAUG,0.6389262356886763
COMP-RE,0.6386840612592173
UCOBANK,0.6219711743237051
USASEEDS,0.6094147480986444
VERTOZ,0.5709648686861467
SALASAR,0.5672566513266091
MAHICKRA,0.5610579101392701
ACEINTEG,0.5512960622026191
BAJAJHIND,0.5269078507997949
KAMDHENU,0.5085761322903721
PROZONINTU,0.504632809000398
RICOAUTO,0.4995634885590074
JINDWORLD,0.49555429725385325
CMRSL,0.4904797752259921
JUNIORBEES,0.4903094183999232
GOLDSTAR,0.4876826611109087
UCL,0.47464667681658906
SHIGAN,0.4718280301713129
BSHSL,0.4690364826264693
PPAP,0.46508904288275454
DESTINY,0.4578489884380978
MADRASFERT,0.4469288721079143
MKPL,0.44651320643937953
SKIPPER,0.44598361926938807
KANDARP,0.4448305998324995
JAIBALAJI,0.4447493118913081
PAVNAIND,0.43861230188072553
JKLAKSHMI,0.4364360940742947
MEDICO,0.4218595652127017
THEMISMED,0.41974107321592463
CHEMPLASTS,0.4064341660693006
BMETRICS,0.4061449233842896
IOB,0.40070542238063944
DUGLOBAL,0.39978656130345386
DONEAR,0.39171436392258013
ARIES,0.3869586014582096
MHHL,0.3692960894530386
PALASHSECU,0.36795139167376784
NELCAST,0.3580622099253017
MBAPL,0.3522438951292193
TRU,0.34989573222135023
JAINAM,0.3468407267435608
NKIND,0.3429363385300619
ATALREAL,0.3425111378436713
DKEGL,0.33358226041292566
RVHL,0.32873272179723556
SWANENERGY,0.3262754339612894
KORE,0.31829989426991234
RICHA,0.317946525720361
BALKRISHNA,0.3124964534950954
TAPIFRUIT,0.3112407600100602
SPCENET,0.3073089117046983
SBC,0.30257973320466097
JSL,0.2950285104794159
TIJARIA,0.2936092448303334
VEEKAYEM,0.2932663723860598
SUBCAPCITY,0.28431134594240004
SEPC,0.2838899097337946
ICICIGOLD,0.28069575651321
DYNAMIC,0.2775701917524644
RAYMOND,0.27461269398131355
SETFNIF50,0.27312721595521156
OPTIEMUS,0.27202544341606283
SADBHAV,0.26977103535652636
KALYANKJIL,0.26849371138905154
NPST,0.2666045987720888
GICHSGFIN,0.26658677012053544
USHAMART,0.2655789318536737
MBECL,0.2622226085163089
BTML,0.2609160591954485
J&KBANK,0.259205122647137
CENTRALBK,0.25807010419454063
SATHAISPAT,0.25789623053644944
SELMC,0.2571895640402465
ABMINTLLTD,0.2569266010386565
URAVI,0.2543831082534888
FLFL,0.2528297363063361
SILINV,0.2519593199888233
VBL,0.25125238748581924
SONAMCLOCK,0.24983387292769255
ABCOTS,0.24964779691797223
